id,name,url,image_url,image_name,genre,starring,num_episodes,release_year,plot,rating
0,100 Days My Prince,https://en.wikipedia.org/wiki/100_Days_My_Prince,https://upload.wikimedia.org/wikipedia/en/f/f0/100_Days_My_Prince.jpg,0.jpg,"Historical, Romantic comedy","D.O., Do Kyung-soo, Nam Ji-hyun, Nam Ji-hyun, Jo Sung-ha, Jo Han-chul, Kim Seon-ho, Han So-hee, Kim Jae-young",16,2018,"Lee Yul falls off a cliff and nearly dies in an attempted assassination. He loses his memory and wanders for 100 days under a new name and personality. During this period, he meets Hong Sim, head of the first detective agency in Joseon.",7.6
1,12 Signs of Love,https://en.wikipedia.org/wiki/12_Signs_of_Love,https://upload.wikimedia.org/wikipedia/en/3/31/Twelvemeninayear-poster.jpg,1.jpg,Romantic comedy,"Yoon Jin-seo, On Joo-wan",16,2012,"A popular singer endures what may be a permanent loss of hearing and speech during the peak of her career and as she struggles to give the performances she was once so used to providing, her boyfriend and a young female fan start to teach her sign language to help her cope with the humbling silence that she is now surrounded by so that she can communicate with a now very silent world.::Jill Thrussell",N/A
2,12 Years Promise,https://en.wikipedia.org/wiki/12_Years_Promise,https://upload.wikimedia.org/wikipedia/en/3/35/Wild_Chives_and_Soy_Bean_Soup-poster.jpg,2.jpg,"Family, Romantic comedy","Lee So-yeon, Namkoong Min, Lee Tae-im, Yoon So-hee, Lee Won-keun, Ryu Hyoyoung",26,2014,"A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",7.3
3,18 Again,https://en.wikipedia.org/wiki/18_Again,https://upload.wikimedia.org/wikipedia/en/b/ba/18_Again_2020.jpg,3.jpg,"Drama, Fantasy, Coming of age","Kim Ha-neul, Yoon Sang-hyun, Lee Do-hyun",16,2020,A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.,8.2
4,365: Repeat the Year,https://en.wikipedia.org/wiki/365:_Repeat_the_Year,https://upload.wikimedia.org/wikipedia/en/d/d5/365_Repeat_the_Year.jpg,4.jpg,"Mystery, Fantasy","Lee Joon-hyuk, Nam Ji-hyun, Nam Ji-hyun, Kim Ji-soo, Kim Ji-soo, Yang Dong-geun",24,2020,"A story where ten people get the chance to go back in time by one year, but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.",8.2
5,49 Days,https://en.wikipedia.org/wiki/49_Days,https://upload.wikimedia.org/wikipedia/en/5/53/49dayspost.jpg,5.jpg,"Romance, Fantasy, Body swap","Lee Yo-won, Nam Gyu-ri, Jung Il-woo, Jo Hyun-jae, Bae Soo-bin, Seo Ji-hye",20,2011,"A woman named ""Ji Hyun Shin"" whom has everything, loving parents, best friends, and an adoring fiancé, gets into a car accident before her wedding causing her to be in a coma. A reaper known as ""Scheduler"" gives Ji Hyun a second chance to live. In order for her to do that, she must have 3 people cry pure tears. She uses the body of Song Yi Kyung, a woman who lost everything. After devastating turnovers with friends, family, and fiancé Ji Hyun finds it difficult. But grows strong.::Seonyeo",8.0
6,4 Legendary Witches,https://en.wikipedia.org/wiki/4_Legendary_Witches,https://upload.wikimedia.org/wikipedia/en/7/71/Legendarywitchesposter.png,6.png,"Romance, Drama, Family","Han Ji-hye, Ha Seok-jin, Go Doo-shim, Oh Hyun-kyung, Ha Yeon-soo",40,2014,,7.5
7,5th Republic (TV series),https://en.wikipedia.org/wiki/5th_Republic_(TV_series),https://upload.wikimedia.org/wikipedia/en/1/16/5th_Republic_%28TV_series%29.jpg,7.jpg,Historical,"Lee Deok-hwa, Seo In-seok, Hong Hak-pyo,  Lee Jin-woo, Cha Kwang-soo, Lee Jae-yong",41,2005,A group of young offenders has lost faith and trust in the German state. They are to be rehabilitated and are sent on an expedition to the Alps. But there is a terrible accident and one of the caregivers is found dead.,6.8
8,7 First Kisses,https://en.wikipedia.org/wiki/7_First_Kisses,https://upload.wikimedia.org/wikipedia/en/9/9f/First_Seven_Kisses_Poster.jpg,8.jpg,Romantic comedy,,8,2016,A Turkish remake of 50 First Dates (2004).::Happy_Evil_Dude,5.0
9,7th Grade Civil Servant,https://en.wikipedia.org/wiki/7th_Grade_Civil_Servant,https://upload.wikimedia.org/wikipedia/en/c/c5/7th_Grade_Civil_Servant-poster.jpg,9.jpg,"Romantic comedy, Action","Choi Kang-hee, Choi Kang-hee, Joo Won",20,2013,"Due to her continual lying, a man breaks up with his girlfriend, unaware that she is a secret agent. A few years later, they meet again without knowing that this time they both have secrets.::softsofa@comcast.net",6.3
10,"90 Days, Time to Love","https://en.wikipedia.org/wiki/90_Days,_Time_to_Love",https://upload.wikimedia.org/wikipedia/en/1/1f/90_Days%2C_Time_to_Love-poster.jpg,10.jpg,"Romance, Melodrama","Kang Ji-hwan, Kim Ha-neul",16,2006,"What happens to a love that is taboo and goes against society's morality? Hyun Ji Seok (Kang Ji Hwan) and Go Mi Yeon (Kim Ha Neul) are high school sweethearts. But they discover that they are cousins, and their love is forbidden by society's mores. So they go their separate ways. Years later in Seoul, Ji Seok is now a university professor and Mi Yeon is a scriptwriter.",7.5
11,A-Teen,https://en.wikipedia.org/wiki/A-Teen,https://upload.wikimedia.org/wikipedia/en/b/b1/A_TEEN_2018.jpg,11.jpg,"Coming of age, Teen, Romance","Shin Ye-eun, Lee Na-eun, Shin Seung-ho, Kim Dong-hee, Kim Su-hyun, Ryu Ui-hyun",24,2018,"It's easy to talk about teenagers, but we are now in our teens for the first time. All the moments were too serious to say I was not worried.",7.9
12,A-Teen 2,https://en.wikipedia.org/wiki/A-Teen_2,https://upload.wikimedia.org/wikipedia/en/b/b6/A_TEEN_Season_2.jpg,12.jpg,Coming of age,"Lee Na-eun, Choi Bo-min, Choi Bo-min, Kim Dong-hee, Kang Min-ah, Kim Su-hyun, Ryu Ui-hyun, Shin Ye-eun, Shin Seung-ho",20,2019,"Follows the cast of the second season of '16 and Pregnant', giving viewers an intimate look at the challenges Chelsea, Leah, Jenelle, and Kailyn face raising a child as a teenager.::Anonymous",4.3
13,A Beautiful Mind (TV series),https://en.wikipedia.org/wiki/A_Beautiful_Mind_(TV_series),https://upload.wikimedia.org/wikipedia/en/a/ae/Park-so-dam_1465617666_jj.jpg,13.jpg,"Medical, Melodrama, Mystery","Jang Hyuk, Park So-dam",14,2016,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.::ahmetkozan",8.2
14,A Bird That Doesn't Sing,https://en.wikipedia.org/wiki/A_Bird_That_Doesn't_Sing,https://upload.wikimedia.org/wikipedia/en/d/d0/A_Bird_That_Doesn%27t_Sing_Poster.jpg,14.jpg,"Revenge, Melodrama, Soap opera","Oh Hyun-kyung, Hong Ah-reum, Kang Ji-sub, Kim Yu-seok, Baek Seung-hee, Ahn Jae-min",100,2015,A grief-stricken woman sets out to inflict retribution upon the woman who callously murdered her mother for profit.::Darwin,N/A
15,A Daughter Just Like You,https://en.wikipedia.org/wiki/A_Daughter_Just_Like_You,,,Drama,"Lee Soo-kyung, Kang Kyung-joon, Kim Hye-ok, Kil Yong-woo",120,2015,"Hong Ae-Ja (Kim Hye-Ok) works as a host at a home shopping channel. She has three accomplished daughters: Ji-Sung (Woo Hee-Jin), In-Sung (Lee Soo-Kyung) and Hee-Sung (Jung Hye-Seong). Hong Ae-Ja's family interconnects with So Pan-Seok's (Jung Bo-Suk) family and Heo Eun-Sook's (Park Hae-Mi) as in-laws.::http://asianwiki.com/A_Daughter_Just_Like_You",6.9
16,A Gentleman's Dignity,https://en.wikipedia.org/wiki/A_Gentleman's_Dignity,https://upload.wikimedia.org/wikipedia/en/0/06/A_Gentleman%27s_Dignity_drama_poster.jpg,16.jpg,"Romance, Comedy, Drama","Jang Dong-gun, Kim Ha-neul, Kim Su-ro, Kim Min-jong, Lee Jong-hyuk",20,2012,"A drama about the careers and love lives of urban professionals. It will tell the story of four men in their forties as they go through love, breakup, success and failure.::Anonymous",8.0
17,A Girl Who Sees Smells,https://en.wikipedia.org/wiki/A_Girl_Who_Sees_Smells,https://upload.wikimedia.org/wikipedia/en/5/59/The_girl_who_sees_smell.jpg,17.jpg,"Romance, Thriller, Fantasy","Park Yoo-chun, Shin Se-kyung, Namkoong Min, Namgoong Min, Yoon Jin-seo",16,2015,"Detective Tae Ho lost his younger sister to a barcode-murder case and lost his ability to taste, smell, and feel pain. He then meets Oh Cho Rim, the only witness to the murder case who possesses a special sense: she can see smells.",7.2
18,A Happy Woman,https://en.wikipedia.org/wiki/A_Happy_Woman,,,"Romance, Drama","Yoon Jung-hee, Kim Suk-hoon, Jung Gyu-woon",58,2007,,N/A
19,A Hundred Year Legacy,https://en.wikipedia.org/wiki/A_Hundred_Year_Legacy,https://upload.wikimedia.org/wikipedia/en/4/41/A_Hundred_Year_Legacy-poster.jpg,19.jpg,Romance,"Eugene, Eugene, Lee Jung-jin",50,2013,"Marian Anderson, whose contralto singing voice of great range dazzled international audiences, was a gifted African American woman who had to surmount innumerable, unwarranted obstacles before eventually achieving her dream.",8.9
20,A Korean Odyssey,https://en.wikipedia.org/wiki/A_Korean_Odyssey,https://upload.wikimedia.org/wikipedia/en/e/e4/A_Korean_Odyssey_%28Hwayugi%29.jpg,20.jpg,"Fantasy, Romance, Comedy, Horror","Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi, Jang Gwang",20,2017,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other and they look for a true light in a dark world where evils exists everywhere.::asianwiki",8.1
21,A Love So Beautiful (2020 TV series),https://en.wikipedia.org/wiki/A_Love_So_Beautiful_(2020_TV_series),https://upload.wikimedia.org/wikipedia/en/8/8c/A_Love_So_Beautiful_%28Web_series%29.jpg,21.jpg,"Coming of age, Romantic comedy","Kim Yo-han, Kim Yo-han, So Joo-yeon, Yeo Hoe-hyun, Jo Hye-joo, Jeong Jin-hwan",24,2020,"Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.::(Source: Netflix)",7.2
22,A Love to Kill,https://en.wikipedia.org/wiki/A_Love_to_Kill,https://upload.wikimedia.org/wikipedia/en/6/60/A_Love_to_Kill-poster.jpg,22.jpg,"Romance, Melodrama","Rain, Rain, Shin Min-ah, Kim Sa-rang, Kim Sa-rang, Lee Ki-woo",16,2005,"A young boxer becomes a bodyguard to the actress responsible for his brother's attempted suicide. She falls in love with him, unaware of his true identity or his plans for revenge.::L. Hamre",7.4
23,A Man Called God,https://en.wikipedia.org/wiki/A_Man_Called_God,https://upload.wikimedia.org/wikipedia/en/5/50/Man_Called_God-poster.jpg,23.jpg,"Action, Romance","Song Il-gook, Han Chae-young, Kim Min-jong, Han Go-eun, Yoo In-young",24,2010,"Michael King vows to revenge his parents' death. He believes that he can use his power as head of an underground drug kingpin to punish those who hurt him. However, his beliefs are shaken when he falls in love with a reporter named Jin Bo Bae.::D-Wiki",6.0
24,A New Leaf (TV series),https://en.wikipedia.org/wiki/A_New_Leaf_(TV_series),https://upload.wikimedia.org/wikipedia/en/e/e8/A_New_Leaf-poster.jpg,24.jpg,"Drama, Legal, Romance","Kim Myung-min, Park Min-young, Kim Sang-joong, Chae Jung-an",16,2014,"Henry Graham lives the life of a playboy. When his lawyer tells him one day that his lifestyle has consumed all his funds, he needs an idea to avoid climbing down the social ladder. So he intends to marry a rich woman and - murder her.::Stefan Kahrs <smk@dcs.ed.ac.uk>",7.4
25,A Piece of Your Mind,https://en.wikipedia.org/wiki/A_Piece_of_Your_Mind,https://upload.wikimedia.org/wikipedia/en/5/50/A_Piece_Of_Your_Mind_main_poster.jpg,25.jpg,Melodrama,"Jung Hae-in, Chae Soo-bin, Lee Ha-na, Kim Sung-kyu",12,2020,A romance about an artificial intelligence (AI) programmer and classical recording engineer.,7.4
26,A Place in the Sun (South Korean TV series),https://en.wikipedia.org/wiki/A_Place_in_the_Sun_(South_Korean_TV_series),,,Drama,"Oh Chang-seok, Yoon So-yi, Choi Sung-jae, Ha Si-eun",100,2019,A poor boy gets a job working for his rich uncle and ends up falling in love with two women.::Karl Krejci,7.8
27,A Pledge to God,https://en.wikipedia.org/wiki/A_Pledge_to_God,https://upload.wikimedia.org/wikipedia/en/1/11/A_Pledge_to_God.jpg,27.jpg,Melodrama,"Han Chae-young, Bae Soo-bin, Oh Yoon-ah, Lee Chun-hee",48,2018,A human melodrama about two married couples who make choices beyond the ethics and morals of this world in order to save their dying children.,4.8
28,A Poem a Day,https://en.wikipedia.org/wiki/A_Poem_a_Day,https://upload.wikimedia.org/wikipedia/en/e/e2/A_Poem_a_Day_poster.jpg,28.jpg,"Medical, Slice of life","Lee Yu-bi, Lee Joon-hyuk, Jang Dong-yoon",16,2018,"Story follows a group of physical therapists, nurses, radiological technologists, and trainees. Ye Jae Wook works as a physical therapist and also teaches in the same field. He begins to work as a team leader at a hospital. Woo Bo Yeong has been working as a physical therapist for 3 years. She wanted to become a poet, but due to her poor family background, she studied to become a physical therapist. Shin Min Ho is a trainee, but he isn't interested in physical therapy. His grades weren't good enough for medical school and his parents, who are both doctors, made him study physical therapy.",7.5
29,A Sea of Her Own,https://en.wikipedia.org/wiki/A_Sea_of_Her_Own,https://upload.wikimedia.org/wikipedia/en/5/51/Sea_of_the_Woman.jpg,29.jpg,"Historical, Family","Oh Seung-ah, Kim Joo-Yong, Han Yoo-yi, Choi Sung-jae",120,2017,"A pickup game with the family-owned pizza place across the street leads to Leela being the first female Blernsball player, but she has to struggle to avoid being the worst player ever.::Jeff Lindstrom",7.0
30,A Tale of Two Sisters (TV series),https://en.wikipedia.org/wiki/A_Tale_of_Two_Sisters_(TV_series),,,"Romance, Drama, Family","Park Se-young, Lee Hae-in, Lee Hae-in, Yoo Gun, Park Jae-jung",135,2013,A family is haunted by the tragedies of deaths within the family.::Daniel Archer,7.2
31,A Thousand Days' Promise,https://en.wikipedia.org/wiki/A_Thousand_Days'_Promise,https://upload.wikimedia.org/wikipedia/en/2/21/A_Thousand_Days%27_Promise_poster.jpg,31.jpg,"Romance, Melodrama","Soo Ae, Kim Rae-won",20,2011,"A heart wrenching drama about a woman fighting to keep her dignity while dealing with her Alzheimer's. Can she accept help from her lover, even in the face of disgrace?::photonut",8.3
32,A Thousand Kisses (TV series),https://en.wikipedia.org/wiki/A_Thousand_Kisses_(TV_series),https://upload.wikimedia.org/wikipedia/en/9/9f/A_Thousand_Kisses-poster.jpg,32.jpg,"Romance, Drama","Seo Young-hee, Ji Hyun-woo, Ryu Jin, Kim So-eun",50,2011,"After a death in the family turns his world upside down, an introverted young novelist struggles to maintain his relationship with his successful girlfriend.",6.6
33,A Witch's Love,https://en.wikipedia.org/wiki/A_Witch's_Love,https://upload.wikimedia.org/wikipedia/en/d/d1/Witch%27s_Romance.jpg,33.jpg,"Romance, Comedy","Uhm Jung-hwa, Park Seo-joon",16,2014,"Based on the popular Taiwanese drama, My Queen! Despite her witchy reputation at work, 39-year-old tabloid reporter Ban Ji Yeon (Uhm Jung Hwa) is ultra focused on her job. What her colleagues don't know, however, is that the source of her prowess is a broken heart: Since being stood up by her ex-fiance, Ji Yeon has completely written off romance. But in a rare moment of vulnerability, a 25-year-old jack of all trades named Yoon Dong Ha (Park Seo Joon) becomes her unlikely hero. Will they act on their intense sexual tension, or is age a dealbreaker?",7.4
34,About Time (TV series),https://en.wikipedia.org/wiki/About_Time_(TV_series),https://upload.wikimedia.org/wikipedia/en/7/78/About_Time_%28TV_series%29.jpg,34.jpg,"Fantasy, Romance, Melodrama","Lee Sang-yoon, Lee Sung-kyung",16,2018,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.::Anonymous",7.8
35,Abyss (TV series),https://en.wikipedia.org/wiki/Abyss_(TV_series),https://upload.wikimedia.org/wikipedia/en/d/dd/Abyss_TV_series.jpg,35.jpg,"Romantic comedy, Fantasy, Crime","Ahn Hyo-seop, Lee Sung-jae, Park Bo-young",16,2019,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.::Kenneth Chisholm,7.5
36,Ad Genius Lee Tae-baek,https://en.wikipedia.org/wiki/Ad_Genius_Lee_Tae-baek,https://upload.wikimedia.org/wikipedia/en/2/22/Ad_Genius_Lee_Tae-baek-poster.jpg,36.jpg,"Workplace, Romance","Jin Goo, Park Ha-sun, Jo Hyun-jae, Han Chae-young",16,2013,,6.0
37,"Aeja's Older Sister, Minja","https://en.wikipedia.org/wiki/Aeja's_Older_Sister,_Minja",,,"Family, Romance","Cha Hwa-yeon, Lee Eung-kyung",140,2008,,N/A
38,Age of Innocence (TV series),https://en.wikipedia.org/wiki/Age_of_Innocence_(TV_series),,,,"Go Soo, Kim Min-hee, Park Jung-chul",16,2002,A troubled love story brews in a town where a conscientious objector comes to stay.,6.3
39,Age of Warriors,https://en.wikipedia.org/wiki/Age_of_Warriors,,,Historical,"Seo In-seok, Kim Heung-ki, Park Yong-woo, Lee Duk-hwa, Kim Kap-soo",158,2003,"Continuing his journey into our ancient past, Neil Oliver explores the age of Celtic Britain - a time of warriors, druids, and kings of unimaginable wealth. Neil encounters a celebrated warrior from 300 BC, owner of the finest Iron Age sword ever discovered. He tries his hand at divination in an effort to discover the power of Celtic priests and searches into his own DNA for clues to Celtic identity.::Joyce M",7.8
40,Air City,https://en.wikipedia.org/wiki/Air_City,https://upload.wikimedia.org/wikipedia/en/6/6b/Air_City_drama.jpg,40.jpg,"Action, Romance, Drama","Lee Jung-jae, Choi Ji-woo, Lee Jin-wook, Moon Jung-hee",16,2007,A Russian outpost in Eastern Siberia comes under threat of attack by the Japanese. Aerograd is a new town with a strategically located airfield of vital interest to the government.,6.1
41,Alice (South Korean TV series),https://en.wikipedia.org/wiki/Alice_(South_Korean_TV_series),https://upload.wikimedia.org/wikipedia/en/5/58/Alice_2020.jpg,41.jpg,"Science fiction, Romance","Kim Hee-sun, Joo Won",16,2020,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.::Anonymous",6.4
42,All About Eve (South Korean TV series),https://en.wikipedia.org/wiki/All_About_Eve_(South_Korean_TV_series),https://upload.wikimedia.org/wikipedia/en/7/75/All_About_Eve_drama_poster.jpeg,42.jpeg,"Romance, Drama","Chae Rim, Kim So-yeon, Jang Dong-gun, Han Jae-suk",20,2000,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.::LVJeff,8.2
43,All About My Mom,https://en.wikipedia.org/wiki/All_About_My_Mom,https://upload.wikimedia.org/wikipedia/en/9/9d/All_About_My_Mom_%28%EB%B6%80%ED%83%81%ED%95%B4%EC%9A%94%2C_%EC%97%84%EB%A7%88%29_Promotional_poster.jpg,43.jpg,"Family, Melodrama","Eugene, Eugene, Lee Sang-woo",54,2015,"Jin Ae has a love and hate relationship with her mother San Ok. She dreams of becoming independent from her family and especially from her mother. Jin Ae falls in love with Hoon Jae and marries him. Meanwhile, what awaits for Jin Ae is her new mother-in-law. While experiencing difficult times with her mother-in-law, Jin Ae begins to understand her mother San Ok for the first time.::MyDramaList",8.0
44,All About My Romance,https://en.wikipedia.org/wiki/All_About_My_Romance,https://upload.wikimedia.org/wikipedia/en/3/3d/All_About_My_Love-poster.jpg,44.jpg,"Romantic comedy, Politics","Shin Ha-kyun, Lee Min-jung, Park Hee-soon, Han Chae-ah",16,2013,A conservative government party member falls for the fiesty young leader of an upstart liberal party in this Korean romantic comedy.::Anonymous,7.7
45,All In (TV series),https://en.wikipedia.org/wiki/All_In_(TV_series),https://upload.wikimedia.org/wikipedia/en/e/ea/All_in_drama.jpg,45.jpg,"Action, Romance, Drama","Lee Byung-hun, Song Hye-kyo, Ji Sung, Park Sol-mi, Heo Joon-ho",24,2003,,5.9
46,All My Love For You,https://en.wikipedia.org/wiki/All_My_Love_For_You,https://upload.wikimedia.org/wikipedia/en/0/08/All_My_Love_Promotional_Poster.jpg,46.jpg,Sitcom,"Kim Kap-soo, Park Mi-sun, Jo Kwon, Gain, Ga-in, Yoon Doo-joon, Jun Tae-soo, Yoon Seung-ah",210,2010,,N/A
47,All of Us Are Dead,https://en.wikipedia.org/wiki/All_of_Us_Are_Dead,,,"Coming of age, Zombie","Yoon Chan-young, Park Ji-hoo, Cho Yi-hyun, Park Solomon, Yoo In-soo",,2021,The story of a group of students stuck in their school during a zombie apocalypse.::Wikipedia,N/A
48,Alone in Love,https://en.wikipedia.org/wiki/Alone_in_Love,https://upload.wikimedia.org/wikipedia/en/e/ee/Alone_in_Love-poster.jpg,48.jpg,"Romance, Melodrama","Kam Woo-sung, Son Ye-jin, Gong Hyung-jin, Lee Ha-na",16,2006,"This is the story of two ordinary people who meet and fall in love, marry and divorce, but are unable to move on from that point, because their love did not end when they separated. Eun-Ho and Dong-Jin meet one day at the bookstore where he works at and they're immediately drawn to each other. They fall in love after subsequent meetings, and the two are married like millions of others who are in similar situations. But two years later they are divorced, and that's where the story opens. A pair of divorcées sitting across from each other talking about each other's lives. There's nothing about them that stands out from the crowd. They have ordinary jobs, he works at a bookstore and she at the fitness club. Neither is extremely good-looking, nor rich, nor charismatic. But there is something different about them, and as the story reveals the reasons behind their divorce, their continuing meetings after divorce, their mingling in each other's lives, their matchmaking attempt for each other, and their internal monologues about each other, it becomes apparent they are each other's destiny if such thing exists. But even so, getting back together might be asking too much, since that would open up a wound that they've tried to bury for three years. Furthermore their new love-interests, Mi-Youn and Hyeon-Joong are marking their steps into Dong-Jin and Eun-Ho's lives, and the new love might just be a wiser option for two that have tried but failed already. In fact, Hyeon-Joong may have more things in common with Eun-Ho than she ever did with Dong-Jin, and Mi-Youn seems to need Dong-Jin more than Eun-Ho ever did, this alone might be enough for the pair of divorcées to finally cut the tie between them.::Anonymous",8.8
49,Amanza,https://en.wikipedia.org/wiki/Amanza,https://upload.wikimedia.org/wikipedia/en/c/c9/Amanza_2020.jpg,49.jpg,"Drama, Fantasy","Ji Soo, Lee Seol, Oh Hyun-kyung, Yoo Seung-mok, Lee Jong-won",10,2020,"""Amanza"" is about the life of a 26 year old young man who finds out he has cancer.::HanCinema",8.3
50,Amor Fati (TV series),https://en.wikipedia.org/wiki/Amor_Fati_(TV_series),https://upload.wikimedia.org/wikipedia/en/a/a9/Amor_Fati_TV_series.jpg,50.jpg,"Romance, Drama","Choi Jung-yoon, Ahn Jae-mo, Bae Seul-ki, Yoon Mi-ra",120,2021,"About a woman whose family is everything, and another woman whose success is everything, and the fierce battle between the two who jumped into the second act race of their lives and how they renewed their lives as they rise up again.",N/A
51,Andante (TV series),https://en.wikipedia.org/wiki/Andante_(TV_series),https://upload.wikimedia.org/wikipedia/en/5/56/Andante_poster.jpg,51.jpg,"Coming of age, Teen, Romance","Kai, Kim Jong-in, Baek Chul-min, Lee Ye-hyun, Kim Jin-kyung",16,2017,Moving to a new school is easy for a computer genius who skips school. But things change.,7.0
52,Ang Shim Jung,https://en.wikipedia.org/wiki/Ang_Shim_Jung,https://upload.wikimedia.org/wikipedia/en/1/15/Ang_Shim_Jung_poster.jpg,52.jpg,"Historical, Mystery","Yeo Hyun-soo, Kim Ha-eun, Kwon Hae-hyo, Lee Ki-young",13,2010,,N/A
53,Angel's Choice,https://en.wikipedia.org/wiki/Angel's_Choice,https://upload.wikimedia.org/wikipedia/en/4/45/An_Angel%27s_Choice_poster.jpg,53.jpg,"Romance, Melodrama, Family","Choi Jung-yoon, Yoon Hee-seok, Jung Sung-woon, Kang Se-jung, Go Na-eun",140,2012,Isabel Cooper is a widow who has been working as an executive secretary for a large company since her husband passed away and now lives with her elderly mother.,6.5
54,Angel's Last Mission: Love,https://en.wikipedia.org/wiki/Angel's_Last_Mission:_Love,https://upload.wikimedia.org/wikipedia/en/7/7e/Angel_s_Last_Mission%2C_Love.jpg,54.jpg,"Romance, Fantasy","Shin Hye-sun, Kim Myung-soo, Lee Dong-gun, Kim Bo-mi, Do Ji-won, Kim In-kwon",32,2019,"Dan is a care-free angel who always gets into trouble. In order to return to heaven, he is tasked with a mission to find true love for a cold and single-minded ballerina Lee Yun Seo, but ends up falling for her himself.",7.7
55,Angel's Revenge (TV series),https://en.wikipedia.org/wiki/Angel's_Revenge_(TV_series),https://upload.wikimedia.org/wikipedia/en/3/3a/KBS2_Angel%27s_Revenge.jpg,55.jpg,"Romance, Melodrama, Family","Yoon So-yi, Park Jung-chul, Moon Bo-ryung, Kwon Yul",103,2014,"a very young girls trio escapes from a convent to meet boys on a disco. A pretty young nun go after them, entered disguised at disco and when she finds the missed sheep being forced for a boy, she don't hesitates and with a jump, lands her feet over the chest of the poor boy. If i tell you the nun is So Yi Yoon, you can say so what, surely remembering ARAHAN, SHADOWLESS SWORD and so. Less usual could sounds that So Yi don't repeat neither a single kick nor a fist in the 103 chapters. Angel s Revenge instead is a tearful story, with some enjoying characters, the hated Jang Taejong, notorious villain, the grand mother Gong, the nun, Sister Maria, returning to a civil Lee Seonyu, to investigate the murder of her sister, Lee JinYU. Its a touching, sometimes painful enormous movie where almost all the stars do right, but...¿can somebody explain why So Yi begins the movie kicking fine but never ever she defends herself against the frequents attacks ?::mau davi",7.0
56,Angel Eyes (TV series),https://en.wikipedia.org/wiki/Angel_Eyes_(TV_series),https://upload.wikimedia.org/wikipedia/en/a/ae/Angel_Eyes.jpg,56.jpg,"Melodrama, Medical, Romance, Family","Lee Sang-yoon, Ku Hye-sun",20,2014,"A mysterious man is drawn to a feisty female police officer and a unusual relationship ensues, as not everything is as it seems.::Anonymous",5.6
57,Angry Mom,https://en.wikipedia.org/wiki/Angry_Mom,https://upload.wikimedia.org/wikipedia/en/b/be/Angry_Mom_Poster.jpg,57.jpg,"Family, Drama, Teen","Kim Hee-sun, Kim Yoo-jung, Ji Hyun-woo",16,2015,"This drama is about Jo Gang-ja, a mother who was known as a tough girl in high school. Her daughter Ah-ran is bullied at school and when Gang-ja finds out, she makes it her responsibility to stop her daughter's bullying. She ends up becoming a high school student again.::wendy mcknight",7.6
58,Another Miss Oh,https://en.wikipedia.org/wiki/Another_Miss_Oh,https://upload.wikimedia.org/wikipedia/en/6/67/Another_Oh_Hae-young_poster.jpeg,58.jpeg,"Romance, Comedy, Drama","Eric Mun, Seo Hyun-jin, Jeon Hye-bin",20,2016,"A romantic television series about two women who not only share the same name Oh Hae Young but they also share a destiny with the same man, Park Do Kyung, who can see the future.",7.9
59,Another Peaceful Day of Second-Hand Items,https://en.wikipedia.org/wiki/Another_Peaceful_Day_of_Second-Hand_Items,,,Romance,"Hana, Hana, Lee Ka-eun, Kang Tae-joo",,2020,,N/A
60,Apgujeong Midnight Sun,https://en.wikipedia.org/wiki/Apgujeong_Midnight_Sun,https://upload.wikimedia.org/wikipedia/en/1/16/Apgujeong_Midnight_Sun_poster.jpg,60.jpg,"Romance, Melodrama, Family","Park Ha-na, Kang Eun-tak",149,2014,The lives of cable TV employees become intertwined as they enter romantic and combative relationships with one another.,N/A
61,April Kiss,https://en.wikipedia.org/wiki/April_Kiss,https://upload.wikimedia.org/wikipedia/en/5/50/April_Kiss_poster.jpg,61.jpg,,"Soo Ae, Jo Han-sun, Lee Jung-jin, So Yi-hyun",24,2004,"Chae-won is a charming woman, who is also talented in arts. She majored in sculpture in college, and currently teaches at her private art school. One of the things that she cherishes the most is a pair of paddy birds that she received as a gift from her middle-school boyfriend. Every time Chae-won looks at the birds, she comes to recall her middle-school love. But she can't figure out if her feelings for Jeong-woo, her middle-class boyfriend, are her affection for him or simply a piece of memory. However, one thing is clear: she is currently with the guy named Kang Jae-sup. But one day, Jeong-woo shows up, and the two men find themselves embroiled in a whirlpool of love.",N/A
